               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,             0.02396,            0.012895,            0.010497,             0.88658,             0.89955,              0.9279,             0.74074,            0.014827,           0.0043891,           0.0022482,            0.004753,            0.004753,            0.004753
                 108,             0.02401,            0.012687,            0.011052,              0.8924,              0.8999,             0.92892,             0.74014,            0.014778,           0.0043849,           0.0023946,           0.0047035,           0.0047035,           0.0047035
                 109,            0.023491,            0.012537,           0.0091139,             0.89483,             0.90511,             0.92879,             0.73877,            0.014765,           0.0044006,           0.0022946,            0.004654,            0.004654,            0.004654
                 110,            0.023774,            0.012748,           0.0093756,             0.89552,             0.90713,             0.92981,             0.73834,            0.014652,           0.0044073,           0.0023974,           0.0046045,           0.0046045,           0.0046045
                 111,            0.023001,            0.012528,           0.0091286,             0.89359,             0.91253,              0.9304,             0.73947,            0.014703,           0.0044102,           0.0022654,            0.004555,            0.004555,            0.004555
                 112,            0.022981,            0.012775,           0.0098716,             0.89754,             0.91194,             0.93321,             0.74192,            0.014615,           0.0044035,           0.0021748,           0.0045055,           0.0045055,           0.0045055
                 113,            0.022824,            0.012324,           0.0086277,             0.89778,              0.9012,             0.93139,             0.74006,            0.014603,           0.0044457,           0.0020038,            0.004456,            0.004456,            0.004456
                 114,            0.022942,            0.012931,            0.010871,              0.9023,             0.89582,              0.9277,              0.7406,            0.014594,           0.0044394,           0.0021303,           0.0044065,           0.0044065,           0.0044065
                 115,            0.023251,            0.012789,           0.0094001,             0.90157,             0.89734,             0.92539,             0.73934,            0.014546,           0.0044499,           0.0023332,            0.004357,            0.004357,            0.004357
                 116,            0.022875,            0.012616,           0.0097985,             0.90579,             0.89287,             0.92566,             0.73943,            0.014514,            0.004439,           0.0023195,           0.0043075,           0.0043075,           0.0043075
                 117,            0.023884,            0.012629,             0.01004,             0.89791,              0.8907,             0.92843,             0.74024,            0.014398,            0.004409,           0.0023718,            0.004258,            0.004258,            0.004258
                 118,            0.023155,            0.012527,            0.010236,             0.89064,             0.91255,             0.93023,             0.74191,             0.01446,           0.0044151,           0.0021886,           0.0042085,           0.0042085,           0.0042085
                 119,             0.02307,              0.0126,           0.0095348,             0.89553,             0.90965,              0.9329,             0.74279,            0.014461,           0.0044083,           0.0023295,            0.004159,            0.004159,            0.004159
                 120,            0.022764,             0.01242,           0.0093549,             0.90312,             0.91056,             0.93286,             0.74419,            0.014465,           0.0044133,           0.0024242,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022961,             0.01234,            0.010529,             0.89903,             0.90961,             0.93151,             0.74291,            0.014535,           0.0044342,           0.0024843,             0.00406,             0.00406,             0.00406
                 122,            0.022544,            0.012304,           0.0091593,             0.89222,             0.91072,             0.92938,             0.74175,            0.014472,           0.0044624,           0.0024813,           0.0040105,           0.0040105,           0.0040105
                 123,            0.022661,            0.012455,           0.0095246,             0.89873,             0.90282,             0.92745,             0.73958,            0.014449,           0.0044898,           0.0024393,            0.003961,            0.003961,            0.003961
                 124,            0.022084,            0.012433,           0.0089746,             0.90163,             0.89884,             0.92614,             0.73778,            0.014493,           0.0044931,           0.0024027,           0.0039115,           0.0039115,           0.0039115
                 125,            0.022652,            0.012535,           0.0093834,             0.89375,             0.90964,             0.92505,             0.73793,            0.014603,           0.0045015,           0.0023906,            0.003862,            0.003862,            0.003862
                 126,            0.022387,            0.012514,           0.0088363,             0.89035,             0.90731,             0.92513,             0.73718,            0.014546,           0.0044928,           0.0023563,           0.0038125,           0.0038125,           0.0038125
                 127,            0.022293,            0.012215,           0.0088155,              0.8935,             0.89905,             0.92415,             0.73799,            0.014543,           0.0044999,           0.0023266,            0.003763,            0.003763,            0.003763
                 128,            0.022453,            0.012233,            0.008835,             0.90181,             0.89978,             0.92603,             0.73628,            0.014546,           0.0044959,           0.0025099,           0.0037135,           0.0037135,           0.0037135
                 129,            0.022441,            0.012187,           0.0087905,             0.89672,             0.90507,             0.92344,             0.73657,            0.014534,           0.0045042,           0.0025078,            0.003664,            0.003664,            0.003664
                 130,             0.02199,            0.012179,           0.0076076,             0.89699,             0.90189,             0.92527,             0.73848,            0.014523,           0.0044834,           0.0022633,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022191,            0.012286,           0.0082049,             0.89523,             0.90239,             0.92492,             0.73823,            0.014444,            0.004485,           0.0021726,            0.003565,            0.003565,            0.003565
                 132,            0.022385,            0.012374,           0.0090762,             0.90623,             0.89198,             0.92269,             0.73812,            0.014407,           0.0044786,           0.0021379,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022224,            0.012343,           0.0081842,             0.89806,             0.90355,             0.92494,             0.73962,              0.0144,           0.0044729,            0.002216,            0.003466,            0.003466,            0.003466
                 134,            0.021834,            0.012259,           0.0079945,             0.89795,              0.9064,              0.9298,             0.74069,            0.014389,           0.0044595,           0.0022282,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021973,            0.012246,           0.0089483,             0.89669,             0.90816,              0.9286,             0.73905,            0.014483,           0.0044614,            0.002322,            0.003367,            0.003367,            0.003367
                 136,            0.022013,            0.012214,           0.0088752,             0.89546,             0.90463,             0.92737,             0.74009,            0.014535,           0.0044654,           0.0022251,           0.0033175,           0.0033175,           0.0033175
                 137,            0.021597,              0.0122,           0.0079623,             0.89612,             0.90544,             0.92494,             0.74153,            0.014576,           0.0044652,           0.0020487,            0.003268,            0.003268,            0.003268
                 138,            0.021758,            0.012045,           0.0088287,             0.89923,             0.90181,             0.92535,             0.74263,            0.014611,           0.0044692,           0.0020268,           0.0032185,           0.0032185,           0.0032185
                 139,            0.021635,            0.011986,           0.0079915,             0.90007,             0.90565,             0.92624,             0.74338,            0.014533,            0.004462,           0.0019047,            0.003169,            0.003169,            0.003169
                 140,            0.021488,             0.01202,           0.0079394,             0.89491,              0.9097,             0.92623,             0.74373,            0.014459,           0.0044575,           0.0018916,           0.0031195,           0.0031195,           0.0031195
                 141,            0.021553,            0.012161,           0.0082797,             0.88976,              0.9163,             0.92681,             0.74369,            0.014357,           0.0044564,           0.0019283,             0.00307,             0.00307,             0.00307
                 142,            0.021605,            0.012021,           0.0078395,             0.89285,             0.91216,             0.92507,              0.7434,            0.014343,           0.0044662,           0.0020003,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021207,            0.012116,           0.0075097,             0.89207,             0.91562,              0.9268,             0.74272,            0.014321,           0.0044733,            0.002102,            0.002971,            0.002971,            0.002971
                 144,             0.02149,            0.011874,           0.0069773,             0.89133,              0.9171,             0.92533,             0.74162,            0.014329,           0.0044757,           0.0019897,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021084,            0.011845,            0.007263,             0.89084,             0.91704,             0.92591,             0.74229,            0.014348,           0.0044738,           0.0020283,            0.002872,            0.002872,            0.002872
